Compound ChEMBL ID and structure,,SMILES,Compound generic name, Molar mass (g/mol),Basic pKa,Acidic pKa,LogD,Number of aromatic rings,Melanin binding Fraction unbound (%)
CHEMBL1256842,,CN1Cc2c(cccc2N)C(C1)c3ccccc3.C(=C\C(=O)O)\C(=O)O,NOMIFENSINE MALEATE,354.4,8.9,,1.3,2,6
CHEMBL1256849,,c1ccc(cc1)CCN2CCC3(CC2)CNC(=O)O3.Cl,FENSPIRIDE HYDROCHLORIDE,296.79,9.1,,0.5,1,33.4
CHEMBL1257078,,CC(C)COCC(CN(Cc1ccccc1)c2ccccc2)N3CCCC3.Cl,,403,7.5,,3.4,2,6.9
CHEMBL1258702,,c1ccc(c(c1)C2=Nc3c[nH]nc3Nc4c2cc(cc4)[N+](=O)[O-])Cl,,339.74,3.1,,3.5,3,11.3
CHEMBL1269084,,c1cc(oc1)c2ccc3c(c(sc3n2)C(=O)N)N,,259.28,4.6,,2.4,3,0.4
CHEMBL1311023,,Cc1nccc(n1)c2ccc(cc2)n3cnc4c3cccc4,,286.33,4.8,,3.2,4,0.9
CHEMBL1312169,,Cc1ccc2c(c1)c(c(c(n2)c3ccccc3)CN(C)C)O,,292.37,7.7,11.2,2.9,2,6.4
CHEMBL1320149,,CCc1nnc(s1)NC2=NS(=O)(=O)c3c2cccc3,,294.35,6.5,10,1.5,2,73.5
CHEMBL1330860,,c1ccc2c(c1)nc(n2CCN3CCCCC3)NC(=O)c4ccc(cc4)Cl,,382.89,7.2,10.3,3.6,3,0.7
CHEMBL1332846,,Cc1ccc(cc1)c2nc3ccccc3c(n2)NCCCO,,293.36,6.2,,3.2,3,0.2
CHEMBL1332975,,c1ccn2c(c1)cnc2Sc3ccc(cn3)[N+](=O)[O-],,272.28,4.7,,2.6,3,27.7
CHEMBL1333691,,Cn1c2c(cc(s2)C(=O)NCc3cccc(c3)OC)c(n1)c4ccccc4F,,395.45,,11.2,3.6,4,1.3
CHEMBL1334860,,CN(c1ccc(cc1)OC(=O)c2ccco2)C(=O)C(Cl)Cl,DILOXANIDE FUROATE,328.15,,,2.9,2,68.2
CHEMBL1344912,,CN(C)CCCNc1c2ccccc2nc(n1)c3ccc(cc3)Cl,,340.85,9,,2.8,3,0.1
CHEMBL1347562,,c1ccc(cc1)CCNc2cc(=O)oc3c2cccc3,,265.31,4.2,,3.1,2,3.6
CHEMBL1349072,,c1ccc(cc1)c2c(sc(n2)N)c3ccc(cc3)[N+](=O)[O-],,297.33,3.6,,3.7,3,2.9
CHEMBL1352372,,c1ccc(cc1)OCC2Cc3c(c(c(nc3O2)N)C#N)N,,282.3,6,,2.7,2,7.2
CHEMBL1354199,,C[N+]1([C@@H]2C[C@H](C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)c4ccccc4)C.[Br-],,398.29,,,0.2,1,69.7
CHEMBL1360360,,Cc1c(c2nccc(n2n1)c3ccccc3)Br,,288.14,2.1,,3.1,3,14.1
CHEMBL1362108,,c1cc(cc(c1)[N+](=O)[O-])c2nc(no2)c3ccncc3,,268.23,3.7,,2.4,3,1.2
CHEMBL1363370,,CCCCOC(=O)C1CN(N=C1C(=O)C)c2ccccc2,,288.34,7.1,,2,1,83.2
CHEMBL1379976,,Cc1cccn2c1nc(c2)c3ccc(cc3)Cl,,242.7,5.5,,3.1,3,0.5
CHEMBL1383594,,Cn1c2ccccc2nc1c3cccs3,,214.29,4.7,,3,3,16.1
CHEMBL1385973,,c1ccc2c(c1)nc3c(c(n(c3n2)CCCN4CCOCC4)N)C#N,,336.39,7.1,,1.5,3,0.2
CHEMBL1386101,,Cc1c2cc(cnc2on1)C(=O)c3cc(ccc3O)F,,272.23,,9.8,2.6,3,94.4
CHEMBL1392264,,CCN1CCN(CC1)c2[nH]c(=O)c3c(n2)CCCC3,,262.35,8.5,9.6,0.7,0,15
CHEMBL1395597,,CC(C)([C@@H](COc1ccc2c(c1OC)nc3c(c2OC)cco3)O)O,,347.36,4.2,,2.1,3,11.6
CHEMBL1403035,,c1cc2c(cc1F)sc(n2)N3CCN(CC3)C(=O)c4ccc(o4)[N+](=O)[O-],,376.36,3.2,,2.7,3,4.7
CHEMBL1407915,,CN1CCOC(c2ccccc2C1)c3ccccc3.Cl,NEFOPAM HYDROCHLORIDE,289.8,7.8,,2.5,2,24.9
CHEMBL1413176,,Cc1c(c(=O)n(n1C)c2ccccc2)NC(=O)c3cccnc3,NIFENAZONE,308.33,3,10,1.3,2,89.9
CHEMBL1416617,,Cc1c(c(n(n1)c2ccccc2)N)c3ccccc3,,249.31,2.9,,3.4,3,75.9
CHEMBL1423295,,COc1ccc(cc1OC)CCC(=O)NC2=NCCS2,,294.37,9.3,,0.4,1,19.6
CHEMBL1424038,,c1ccc(cc1)c2csc(n2)/N=C\3/CCCCCN3,,271.38,12.4,,1.5,2,1.9
CHEMBL1427661,,COc1ccc(cc1)n2c(=N)c(cc(n2)C(=O)c3cccs3)c4[nH]c5ccccc5n4,,427.48,7.8,11.8,3.3,4,0.1
CHEMBL1427972,,CC(=O)NC(c1ccc2cccnc2c1O)c3ccco3,,282.29,4.8,9.1,2.2,3,39.5
CHEMBL1437612,,CCCCCSc1nc2c(c3cccc(c3[nH]2)C)nn1,,286.4,6.2,,3.5,3,1.4
CHEMBL1438128,,CN1C2CCC1CC(C2)OC(=O)c3cc(cc(c3)Cl)Cl.Cl,,350.67,9.3,,2.4,1,3.6
CHEMBL1438771,,Cc1cc(nc(n1)c2ccccc2)Oc3ccccc3,,262.31,3.3,,3.7,3,45.1
CHEMBL1442407,,Cc1c(c(n2c(n1)nc(n2)NCc3cccs3)C)Cl,,293.78,2.8,,2.9,3,20.6
CHEMBL1444722,,CN1CCc2cc3c(cc2C1C4c5ccc6c(c5C(=O)O4)OCO6)OCO3,,367.35,6.7,,2.6,2,7.7
CHEMBL1446900,,COc1ccc(cc1)NC2=NC3(CCCCC3)N=C(N2)N,,287.36,11,,0.2,1,3.4
CHEMBL1447771,,c1ccc(cc1)C2=N/C(=C\N3CCCCC3)/C(=O)O2,,256.3,10.5,,0.7,1,17.6
CHEMBL1447774,,Cc1cc2c3ccccc3oc(=O)c2c(n1)N,,226.23,6.3,,2.5,2,0.3
CHEMBL1448010,,CCN(CC)CCNC(=O)COc1ccc(cc1)OC.Cl,,316.82,8.9,,0.3,1,17.9
CHEMBL1449034,,C[C@H]1[C@@H]2CN3CC[C@]4([C@@H]3C[C@@H]2C(=CO1)C(=O)OC)c5ccccc5NC4=O,,368.43,6.8,11.6,1.6,1,37.4
CHEMBL1450777,,COc1ccc(cc1)c2nc(c(o2)NCc3ccco3)C#N,,295.29,,,3,3,6.3
CHEMBL1451016,,c1ccc(cc1)CNC(=O)c2c3c(nc4ccccc4n3)n(c2N)CCCN5CCOCC5,,444.53,7.1,10.9,2.3,4,0.1
CHEMBL1452933,,C/C(=C\c1ccc(cc1)N)/c2[nH]c3ccccc3n2,,249.31,6.3,,2.9,3,1.2
CHEMBL1453239,,c1ccc(cc1)Oc2ccc(cc2)c3nc(nc(n3)N)N,,279.3,3.9,,2.5,3,5
CHEMBL1455063,,Cc1cc(no1)NC(=O)Cc2c(cccc2Cl)F,,268.67,11.7,,1.8,1,76.5
CHEMBL1459451,,CC(c1ccccc1)NC(=O)COc2c3ccc(cc3ncn2)[N+](=O)[O-],,352.34,2.7,10.8,3,3,30.5
CHEMBL1468583,,COc1ccc(cc1)N2CCN(CC2)c3cnc4ccccc4n3,,320.39,3.6,,3.3,3,6.7
CHEMBL1468649,,c1cc2n(c1)CCNC2c3ccc(cc3)F.C(=C/C(=O)O)\C(=O)O,,332.33,7.6,,1.9,2,10.7
CHEMBL1475693,,CC(C)c1c(n(n(c1=O)c2ccccc2)C)CN(C)C(C)Cc3ccccc3,FAMPROFAZONE,377.52,6.7,,3,2,35.3
CHEMBL1477775,,c1c(cc(c(c1CNC2CCC(CC2)O)N)Br)Br,,378.1,7.9,,2.3,1,2.9
CHEMBL1480083,,COc1ccc(cc1)C(=O)NCCc2cn3ccccc3n2,,295.34,6.1,11.6,2.4,3,1.6
CHEMBL1485204,,Cn1cnc2c1ccnc2N3CCCCC3,,216.28,6.9,,1.7,2,3.2
CHEMBL1490260,,CC(=O)Nc1ccn(n1)c2ccccc2,,201.22,10.9,,1.8,1,45.7
CHEMBL1490798,,c1ccc(cc1)c2nnc3n2nc(s3)c4ccncc4,,279.32,2.8,,2.7,4,0.5
CHEMBL1493037,,c1cc2c(cc1C3CCCCC3)c4c5n2CCN[C@H]5CCC4,,294.43,8.9,,2.5,2,0.7
CHEMBL1518697,,Cc1nc(cs1)c2ccc(s2)S(=O)(=O)N3CCCN(CC3)CCc4ccccc4,,447.64,7,,3.3,3,0.2
CHEMBL1520242,,CC1(CC(=CC(=O)C1)NCCN2CCN(CC2)C(=O)Nc3ccc(c(c3)Cl)Cl)C,,439.38,6.7,,2.9,1,0.9
CHEMBL1525203,,Cn1c(nnc1SCCN2CCCCC2)CNc3ccc(cc3)Cl,,365.92,8.4,,2,2,5
CHEMBL1527608,,Cn1c2c(c(=O)n(c1=O)C)n(cn2)CC3OCCO3,DOXOFYLLINE,266.25,,,0,1,88.6
CHEMBL1529802,,CN(C)CCN(Cc1ccc(cc1)OC)c2ncccn2.Cl,THONZYLAMINE HYDROCHLORIDE,322.83,8,,1.8,2,11.8
CHEMBL1529951,,Cc1ccc2c(c1)c3c([nH]2)CCN(C3)C(=O)CN4CCN(CC4)c5ccccc5,,388.51,5.4,,3.3,3,0.4
CHEMBL1532903,,CCN1CCSc2c1cc(cc2)C(=O)NC(C)c3ccccc3,,326.46,3.2,10.6,3.5,2,78.8
CHEMBL1545383,,Cn1cc(c(n1)C(=O)N2CCN(CC2)c3ncccn3)Cl,,306.75,3.4,,0.9,2,64.2
CHEMBL1553658,,COc1ccc(c(c1)CCNC(=O)Cn2c(=O)c3c(cn2)c4ccccc4[nH]3)OC,,406.43,,,2.2,3,1.8
CHEMBL1559161,,CCOC(=O)c1c(c([nH]c1C)C(=O)CN2CC(OC(C2)C)C)C,,322.4,5.7,,2.6,1,12.2
CHEMBL1561279,,CN1CCN(CC1)c2c(c(nc(n2)Nc3ccccc3)N)[N+](=O)[O-],,329.36,7.7,,1.8,2,0.4
CHEMBL1571017,,c1ccc(cc1)c2ccc3c(c(sc3n2)C(=O)N)N,,269.32,4.9,,3,3,0.8
CHEMBL1572284,,CCN1CCN(CC1)c2c(cccc2Cl)NC(=O)c3ccco3,,333.81,7.5,10,2.6,2,2.2
CHEMBL1577189,,CCCCOC(=O)CCNc1c(=O)[nH]c(=O)[nH]n1,,256.26,4.7,6.6,0.2,0,81.9
CHEMBL1577432,,CN(C)CCCNc1c2c(csc2ncn1)c3ccccc3.C(=O)(C(=O)O)O,,402.47,9,,2.3,3,1
CHEMBL1584465,,COc1cccc(c1)C(=O)c2cc([nH]c2)C(=O)NCCCN3CCOCC3,,371.43,7.4,11.3,1.5,2,0.5
CHEMBL1584723,,CCOc1ccc(cc1)NC(=O)NCCCN2CCCC2,,291.39,9.4,,1,1,23.7
CHEMBL1586034,,Cc1ccc(cc1)c2nc(c(o2)NCc3ccco3)C#N,,279.29,,,3.2,3,7.5
CHEMBL1596429,,CC1(Cc2c(c3ccccc3[nH]2)C(N1)(C)C)C.Cl,,264.79,10.8,,0.7,2,33.1
CHEMBL1597677,,c1ccc(cc1)C2=[N+](CC(=O)Nc3c2cc(cc3)Cl)[O-],DEMOXEPAM,286.71,4.6,10.5,2.2,2,79.6
CHEMBL1598450,,CCCn1c(=O)c2c(nc[nH]2)n(c1=O)c3ccc(cc3)Cl,AROFYLLINE,304.73,,8.9,3,2,73.4
CHEMBL1599248,,COc1cc(c(cc1C(=O)NC2CCN(CC2)Cc3ccccc3)Cl)N.C(=C\C(=O)O)\C(=O)O,CLEBOPRIDE MALEATE,489.95,8.2,11.9,2.5,2,0.4
CHEMBL1605674,,Cc1c2c(=O)cc[nH]c2nc(n1)c3ccc(cc3)[N+](=O)[O-],,282.25,3.5,8.7,2.1,2,0.9
CHEMBL1607151,,Cc1ccc(cc1)S(=O)(=O)NCCN2CCOCC2,,284.37,6.4,10.8,1.2,1,39.9
CHEMBL1618597,,CCN(CC)CC(=O)Nc1c(cc(cc1C)C)C,TRIMECAINE,248.36,7.7,,2.2,1,64.5
CHEMBL1620012,,CCOCc1cnc(nc1NCC(=O)c2c([nH]c3c2cc(cc3)OC)C)C,,368.43,6.9,,2.8,3,0.6
CHEMBL1621170,,Cc1ccccc1OCC(CN2CCN(CC2)C)O,,264.36,8.6,,0.4,1,17.3
CHEMBL1623233,,c1ccc(cc1)CN2CCN(CC2)c3ccc(cn3)[N+](=O)[O-],,298.34,7.1,,2.5,2,1.4
CHEMBL1698967,,CCOC(=O)c1c(c2c(n1c3ccccc3)ncnc2O)C,,297.31,,7.6,1.4,2,31.7
CHEMBL1701030,,c1ccc(cc1)c2c(c[nH]n2)/C=N/NC(=S)N,,245.3,2.4,9,1.9,2,0.4
CHEMBL1788132,,CC(C1=NCCN1)Oc2c(cccc2Cl)Cl.Cl,LOFEXIDINE HYDROCHLORIDE,295.59,9.4,,0.4,1,14.4
CHEMBL1788371,,C1=CC=C2C=C(C=CC2=C1)C(=O)CN3C=CN=C3.Cl,NAFIMIDONE HYDROCHLORIDE,272.73,6,,2.7,3,0.6
CHEMBL1789941,,c1c[nH]c2c1c(ncn2)c3cnn(c3)[C@H](CC#N)C4CCCC4,RUXOLITINIB,306.37,3,11.3,2.5,3,6.6
CHEMBL1870738,,c1ccc2c(c1)nc(n2CCN3CCOCC3)NCc4ccc5c(c4)OCO5,,380.44,6.7,,2.5,3,0.4
CHEMBL1875876,,Cc1cccc(c1NC(=O)c2ccc(nc2)n3cncn3)C,,293.32,,11.7,2.2,3,45.4
CHEMBL1879182,,Cc1cc(nc(n1)c2ccccc2O)N3CCN(CC3)C,,284.36,7.6,11,2,2,0.2
CHEMBL1882682,,CN(C)C1CCc2c(c3cc(cc(c3[nH]2)F)F)C1,FLUCINDOLE,250.29,9.2,,1.4,2,1
CHEMBL1883142,,c1ccc(cc1)NC(=O)COC(=O)CCCC2=NS(=O)(=O)c3ccccc3N2,,401.44,7,9.3,2.1,2,27.1
CHEMBL1887383,,CN1CCN(CC1)C2CCCCCC2,,196.33,8.8,,0.9,0,53.3
CHEMBL1891178,,Cn1c2c(c3c1c4ccc(cc4nc3)Cl)CN(CC2)C,,285.77,7.6,,2.5,3,0.1
CHEMBL1891684,,CC1=C(C(C(=C(N1)C)C(=O)OC)c2ccccc2OC(F)F)C(=O)OC,RIODIPINE,367.34,2.8,,3,1,63.9
CHEMBL1899502,,Cc1cc(no1)NC(=O)CSc2[nH]c(=O)c(nn2)C,,281.29,12.1,5.8,0.5,0,81.1
CHEMBL1899506,,CN1CCCC(=C(c2cccs2)c3cccs3)C1,TIPEPIDINE,275.43,7.8,,3,2,22.3
CHEMBL1923523,,c1ccc(cc1)C2NC(=Nc3n2c4ccccc4n3)N,,263.3,6.5,,2.2,3,1.7
CHEMBL1946581,,CC(C)(CCn1cc(nc1)c2cccnc2)NCC(=O)N3CCC[C@H]3C#N.CS(=O)(=O)O,,462.57,6.9,,0.2,2,0.7
CHEMBL1967497,,Cc1cc(c2cc(ccc2n1)OC)N/N=C/c3cccc(c3O)OC,,337.37,7.7,,2.8,3,0.2
CHEMBL1990299,,c1ccc(cc1)c2ccc(o2)c3ccc(cc3)C4=NCCN4.Cl,,324.8,10,,2,3,0.3
CHEMBL1994739,,CC(C)[C@@](CCCN(C)CCc1ccc(c(c1)OC)OC)(C#N)c2ccc(c(c2)OC)OC.Cl,,491.06,9.4,,2.4,2,0.8
CHEMBL2074611,,c1cc(nc(c1C(F)(F)F)Cl)N2CCNCC2.Cl,,302.12,8.8,,1.2,1,13.3
CHEMBL2098490,,CN1CCN(CC1)c2cc(nc(n2)c3ccccc3)c4ccncc4,,331.41,7.6,,2.8,3,0.1
CHEMBL2104741,,Cc1c2c(cn1C)NC(=O)CN=C2c3ccccc3,PREMAZEPAM,253.3,4.5,10.8,1.7,2,9.2
CHEMBL2105042,,c1ccc(cc1)C2(OCC(O2)C3CCCCN3)c4ccccc4.Cl,DIOXADROL HYDROCHLORIDE,345.86,8.5,,2,2,35
CHEMBL2105126,,CC1(c2ccccc2C(=CCCNC)c3c1cccc3)C,LITRACEN,277.4,9.7,,2.1,2,2.5
CHEMBL2105147,,c1cc2c(cc1Cl)C(=NCC(=O)N2)C3=CCCCC3,NORTETRAZEPAM,274.75,6.8,10.6,3.1,1,25.4
CHEMBL2105527,,CN1c2ccc(cc2C(=NCC1=O)C3=CCCCC3)Cl,TETRAZEPAM,288.77,6.5,,3.1,1,30.6
CHEMBL2105916,,CCN(CC)CCNC(=O)c1cc(c(cc1OC(C)C(=O)C)N)Cl.Cl,BATANOPRIDE HYDROCHLORIDE,392.32,8.7,,0.8,1,3.8
CHEMBL2106133,,CCC(c1ccccc1)C(=O)OCCOCCN(CC)CC.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,BUTAMIRATE CITRATE,499.55,8.8,,1.7,1,48.9
CHEMBL2106134,,Cc1c(c(n(n1)C)C)NCCNCC(COc2ccccc2)O,DALBRAMINOL,318.41,8.6,,0.3,2,4
CHEMBL2106194,,c1cc(c(cc1OCC2=NCCN2)Cl)Cl.Cl,FENMETOZOLE HYDROCHLORIDE,281.57,9.7,,0.2,1,1.9
CHEMBL2106227,,CCNC1=Nc2ccc(cc2C(O1)(C)c3ccccc3)Cl,ETIFOXINE,300.78,6.1,,3.7,2,9.5
CHEMBL2106537,,Cc1cc(n[nH]1)CCN2CCN(CC2)c3cccc(c3)Cl,MEPIPRAZOLE,304.82,7.2,,2.8,2,2.8
CHEMBL2106632,,C1CCC(CC1)C2(CCCCC2)C(=O)OCCN3CCCCC3.Cl,DIHEXYVERINE HYDROCHLORIDE,357.96,8.5,,2.7,0,16.1
CHEMBL2106762,,CP(=O)(C)CN1c2ccc(cc2C(=NCC1=O)c3ccccc3)Cl,FOSAZEPAM,360.77,3.2,,2.8,2,71.1
CHEMBL2106900,,CN1c2ccc(cc2C(=NCC1=O)C3=CCCCC3)[N+](=O)[O-],MENITRAZEPAM,299.32,5.9,,2.5,1,40.8
CHEMBL2107285,,CN1c2ccc(cc2N(C(=O)CC1=O)c3ccccc3)C(F)(F)F,TRIFLUBAZAM,334.29,,9.3,2.8,2,91.8
CHEMBL2107516,,CC(=C/C(=N/Nc1c2ccccc2cnn1)/C)C,BUDRALAZINE,240.3,8.5,,2.3,2,6.2
CHEMBL2107801,,Cc1nc(no1)c2cc3c(ccnc3c4cccc(c4)OC)[nH]c2=O,RESEQUINIL,334.33,2.3,8.8,2.2,3,2.2
CHEMBL2110767,,CN(C)CCCOC1(CCCCCC1)Cc2ccccc2,BENCYCLANE,289.46,9.4,,2.2,1,10.5
CHEMBL2111030,,CN(C)CCCN1c2ccccc2Sc3c1nccc3,PROTHIPENDYL,285.41,9.3,,1.9,2,0.4
CHEMBL2111138,,c1cnc(nc1)N2CCN(CC2)CCNC(=O)C34CC5CC(C3)CC(C5)C4,ADATANSERIN,369.5,7.1,,1.8,1,11.1
CHEMBL2261816,,c1ccc(cc1)c2nc([nH]n2)c3ccncc3,,222.25,5.1,8.5,2.4,3,2.3
CHEMBL2334890,,COc1cc2c(cc1O)[C@H]3Cc4ccc(c(c4CN3CC2)OC)O,,327.37,7.2,9.9,2.2,2,1.5
CHEMBL2448981,,Cc1ccc(c(c1)N2CCN(CC2)C3CCC(C3)C)C,,272.43,8.2,,2.9,1,9.5
CHEMBL3104068,,c1cc(cnc1)c2nc(on2)c3cccnc3,,224.22,3.7,,1.6,3,7
CHEMBL3187065,,c1cc(c2c(c1)OCCO2)N3CCNCC3.Cl,,256.73,8.7,,-0.5,1,29
CHEMBL3190112,,c1cc(cnc1)c2nnc(n2/N=C/C=C/c3ccco3)S,,297.34,3.8,4.1,0.8,2,1.3
CHEMBL3195280,,c1ccc(cc1)c2nnc(n2/N=C/c3ccc(o3)c4cccc(c4)[N+](=O)[O-])S,,391.4,,5.2,1.9,3,0.5
CHEMBL3197198,,C/N=C\1/c2c(c3cc(ccc3n2CCN1C)OC)c4ccccc4.Cl,,355.86,9.9,,1.5,3,0.6
CHEMBL3199068,,CS/C(=N\C#N)/N1CCN(CC1)c2cccc(c2)Cl,,294.8,4.5,,3.2,1,23.1
CHEMBL3246831,,Cc1nnc2n1-c3ccc(cc3C(=NC2)c4ccccn4)Br,,354.2,5.5,,0.9,3,76.3
CHEMBL3303399,,CC(Cc1ccc(c(c1)OC)OC)NC,,209.28,9.8,,-0.2,1,30.5
CHEMBL3303911,,c1ccc(cc1)OCC(CNCCc2ccc(cc2)O)O,,287.35,8.7,10.9,0.8,2,4.3
CHEMBL3329429,,CN1CCN(CC1)c2cccc3c2[nH]cc3S(=O)(=O)c4ccccc4,,355.45,8.1,10.5,1.8,3,4.1
CHEMBL3349426,,c1ccc\2c(c1)CCC/C2=N\NC(=N)N,,202.26,9.2,,-0.1,1,1.2
CHEMBL3431594,,c1ccc(cc1)OCC(=O)N2CCCC[C@@H]2c3[nH]nc(n3)c4ccnc(c4)N,,378.43,6.7,9,1.9,3,0.7
CHEMBL9,,CCn1cc(c(=O)c2c1cc(c(c2)F)N3CCNCC3)C(=O)O,NORFLOXACIN,319.33,8.7,5.9,-0.4,1,0.7
CHEMBL263883,,Cn1c2ccccc2c3c1CNCC3,,186.25,8.8,,0.7,2,2.3
CHEMBL6437,,CN1CCN2c3ccccc3Cc4ccccc4C2C1,MIANSERIN,264.36,7.7,,2.5,2,13.5
CHEMBL406,,CC1Cc2ccccc2N1NC(=O)c3ccc(c(c3)S(=O)(=O)N)Cl,INDAPAMIDE,365.83,3,8.6,2.1,2,84.2
CHEMBL407,,CCOC(=O)c1c2n(cn1)-c3ccc(cc3C(=O)N(C2)C)F,FLUMAZENIL,303.29,2.8,,1.1,2,58.5
CHEMBL416,,COc1c2c(ccc(=O)o2)cc3c1occ3,METHOXSALEN,216.19,,,2.1,2,8.5
CHEMBL423,,CC(C)NCC(COc1ccc(cc1)CCOCC2CC2)O,BETAXOLOL,307.43,9.3,,0.5,1,26.5
CHEMBL31,,CC1CN(CCN1)c2c(cc3c(c2OC)n(cc(c3=O)C(=O)O)C4CC4)F,GATIFLOXACIN,375.39,8.6,6.2,-0.5,1,2.4
CHEMBL36,,CCc1c(c(nc(n1)N)N)c2ccc(cc2)Cl,PYRIMETHAMINE,248.71,7.3,,2.4,2,7.9
CHEMBL42,,CN1CCN(CC1)C2=Nc3cc(ccc3Nc4c2cccc4)Cl,CLOZAPINE,326.82,7.7,,3.2,2,10.6
CHEMBL8618,,COc1ccccc1N2CCN(CC2)CCCCN3C(=O)c4ccccc4C3=O,NAN-190,393.48,7.2,,2.8,2,0.5
CHEMBL57,,Cc1ccnc2c1NC(=O)c3cccnc3N2C4CC4,NEVIRAPINE,266.3,5.5,10,2.1,2,98.3
CHEMBL469,,c1ccc(cc1)C(=O)c2ccc3n2CCC3C(=O)O,KETOROLAC,255.27,,3.5,-0.5,2,89.9
CHEMBL489,,CC/C(=C(\c1ccc(cc1)O)/c2ccc(cc2)OCCN(C)C)/c3ccccc3,AFIMOXIFENE,387.51,8.6,9.2,3.7,3,6.2
CHEMBL86,,CCN(CC)CCNC(=O)c1cc(c(cc1OC)N)Cl,METOCLOPRAMIDE,299.8,8.7,,0.5,1,4.6
CHEMBL93,,CC(c1cc2ccccc2s1)N(C(=O)N)O,ZILEUTON,236.29,,9.8,1.7,2,72.1
CHEMBL94,,C[C@@]12CCN([C@@H]1N(c3c2cc(cc3)OC(=O)NC)C)C,PHYSOSTIGMINE,275.35,8.1,,0.8,1,61.1
CHEMBL275097,,COc1ccc2c(c1OC)CN3CCc4cc5c(cc4C3C2)OCO5,TETRAHYDROBERBERINE,339.39,7.2,,2.5,2,0.5
CHEMBL512,,CN/C(=C\[N+](=O)[O-])/NCCSCc1ccc(o1)CN(C)C,,314.4,8.4,,-0.8,1,0.5
CHEMBL98,,c1ccc(cc1)NC(=O)CCCCCCC(=O)NO,VORINOSTAT,264.32,,9.4,1,1,79
CHEMBL268248,,CN1c2ccc(cc2C(=NCC1=O)c3ccccc3Cl)Cl,,319.19,2.1,,3.2,2,55.5
CHEMBL534,,CN1CCC(=C2c3ccccc3CC(=O)c4c2ccs4)CC1,KETOTIFEN,309.43,9,,2.3,2,12
CHEMBL535,,CCN(CC)CCNC(=O)c1c(c([nH]c1C)/C=C\2/c3cc(ccc3NC2=O)F)C,SUNITINIB,398.47,9,11.3,2.6,2,0.1
CHEMBL549,,CN(C)CCCC1(c2ccc(cc2CO1)C#N)c3ccc(cc3)F,CITALOPRAM,324.39,9.6,,1.5,2,16.6
CHEMBL550,,CC[C@H]1[C@H](COC1=O)Cc2cncn2C,PILOCARPINE,208.26,6.9,,0.6,1,60.4
CHEMBL15476,,CN1C(CCCC1CC(=O)c2ccccc2)CC(c3ccccc3)O,,337.46,8.4,,2.5,2,4.5
CHEMBL570,,CN(C)CCCN1c2ccccc2Sc3c1cc(cc3)C(F)(F)F,TRIFLUPROMAZINE,352.42,9.1,,3.4,2,1.9
CHEMBL16171,,COc1c(cc(c2c1oc(cc2=O)c3ccccc3)O)O,WOGONIN,284.26,,4.7,1.5,2,1.1
CHEMBL17045,,CCN(CC)CC1CCCCN1CC(=O)N2c3ccccc3C(=O)Nc4c2nccc4,OTENZEPAD,421.54,7.9,11.1,2.5,2,57.3
CHEMBL17423,,COc1ccc(cc1OC)C(=O)N2CCN(CC2)c3ccc4c(c3)CCC(=O)N4,VESNARINONE,395.45,3.7,,2.1,2,10.6
CHEMBL17350,,C[C@@H]([C@H](c1ccc(cc1)O)O)N2CCC(CC2)(c3ccccc3)O,TRAXOPRODIL,327.42,8.5,9.9,1.2,2,25.6
CHEMBL18116,,Cc1cccc(c1)N2CC(OC2=O)CO,TOLOXATONE,207.23,,,1.7,1,85.6
CHEMBL19173,,c1ccc(cc1)COCCCc2cnc[nH]2,PROXYFAN,216.28,6.6,,1.8,2,17.6
CHEMBL621,,c1ccn2c(c1)nn(c2=O)CCCN3CCN(CC3)c4cccc(c4)Cl,TRAZODONE,371.86,6.9,,2.8,1,0.3
CHEMBL625,,c1ccc2c(c1)[nH]c(n2)c3cscn3,THIABENDAZOLE,201.25,4.6,11,2.5,3,7.4
CHEMBL131,,C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C)O,PREDNISOLONE,360.44,,,1.6,0,45.2
CHEMBL22150,,CN1CCN(CC1)C(c2ccccc2)c3ccc(cc3)Cl,CHLORCYCLIZINE,300.83,8.2,,3,2,22.2
CHEMBL285157,,c1ccc(cc1)CN2CCC(=CC2)c3c[nH]c4c3cccc4,,288.39,8.5,,2.8,3,0.2
CHEMBL741,,c1cc(c(c(c1)Cl)Cl)c2c(nc(nn2)N)N,LAMOTRIGINE,256.09,6.6,,1.2,2,57.6
CHEMBL33416,,C1=CC=C(C=C1)CN2C=NC3=C2N=C(NC3=O)N,,241.25,3.8,9.6,0.9,2,33
CHEMBL287257,,CN1Cc2cc(ccc2C(C1)c3ccc(c(c3)Cl)Cl)OC,DICLOFENSINE,322.23,8.1,,3.1,2,4.4
CHEMBL34833,,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Cl-],CETYLPYRIDINIUM CHLORIDE,339.99,,,2.3,1,1.2
CHEMBL38380,,c1cc2cnccc2c(c1)S(=O)(=O)N3CCCNCC3,FASUDIL,291.37,7.7,,-0.1,2,15.5
CHEMBL37379,,CN(C)CCCNC(=O)C(c1ccccc1)c2ccccc2,,296.41,9.3,,1.4,2,64.8
