Compound ChEMBL ID and structure,,SMILES,Compound generic name, Molar mass (g/mol),Basic pKa,Acidic pKa,LogD,Number of aromatic rings,Melanin binding Fraction unbound (%)
CHEMBL2105199,,c1ccnc(c1)C(=O)c2cnn3c2nccc3c4ccncc4,OCINAPLON,301.3,3.7,,1.1,4,4.1
CHEMBL2105302,,c1ccc(cc1)C(Cc2nc(on2)CCN3CCCCC3)c4ccccc4,PRENOXDIAZINE,361.48,7.6,,3.3,3,6.1
CHEMBL2105561,,CN1CCN(CC1)C(=O)OC2C3=C(C(=O)N2c4ccc5ccc(nc5n4)Cl)SCCS3,SURICLONE,477.99,7.7,,2.2,2,0.1
CHEMBL2106138,,C[N+]1(CCCCC1)CCC(c2ccccc2)(c3ccccc3)C(=O)N.[Br-],FENPIVERINIUM BROMIDE,417.38,,,0.8,2,66.3
CHEMBL2106212,,CN(C)CCCN1Cc2ccccc2C(=C)c3c1cccc3,ENPRAZEPINE,292.42,9.1,,2.4,2,0.4
CHEMBL2106314,,CC(C)N(CCC(c1ccccc1)c2ccccc2)C(C)C.Cl,DIISOPROMINE HYDROCHLORIDE,331.92,9.7,,2.8,2,50.6
CHEMBL2106515,,CCN(CC)CCNC(=O)COc1ccc(cc1)Cl,CLOFEXAMIDE,284.78,8.9,,1.1,1,7.5
CHEMBL2106673,,Cc1ccccc1C(c2ccccc2)OCCNC.Cl,TOFENACIN HYDROCHLORIDE,291.82,9.5,,1.4,2,26
CHEMBL2106897,,CCC(=O)OC1(CCN(C1C)C)c2ccccc2.Cl,PRODILIDINE HYDROCHLORIDE,283.79,8.2,,1.5,1,85.2
CHEMBL2106927,,CCCCN1CCC(CC1)CNC(=O)c2c3ccccc3n4c2OCCC4.Cl,PIBOSEROD HYDROCHLORIDE,405.96,9.8,,1.2,2,1.1
CHEMBL2106997,,CCC(c1ccccc1)c2nc(on2)CCN(CC)CC,PROXAZOLE,287.4,7.7,,2.5,2,41.6
CHEMBL2107008,,Cc1csc(c1NC2=NCCN2)Cl.Cl,TIAMENIDINE HYDROCHLORIDE,252.16,9.6,,-0.3,1,81.8
CHEMBL2107035,,C[C@@H]1CN(C[C@@H](N1)C)CCCn2c3ccccc3c4c2cccc4.Cl,RIMCAZOLE HYDROCHLORIDE,357.92,9.7,,2,3,0.3
CHEMBL2107246,,CC(CN1c2ccccc2Sc3c1nccc3)N(C)C.Cl,ISOTHIPENDYL HYDROCHLORIDE,321.87,8.8,,2.1,2,1.1
CHEMBL2110784,,CCOC(=O)CN1CCN(CC1)C(=O)/C=C/c2cc(c(c(c2)OC)OC)OC,CINEPAZET,392.45,6.9,,1.1,1,40.2
CHEMBL2110856,,CN(C)CCCN1c2ccccc2CC(=O)c3c1cccc3,KETIPRAMINE,294.39,9.1,,1.8,2,3.7
CHEMBL2111123,,CN(C)CCN1c2ccccc2SC(CC1=O)c3ccccc3,THIAZESIM,326.46,8,,2.6,2,6.8
CHEMBL2137785,,c1ccc(cc1)c2cc(n(n2)c3ccccc3)c4ccccc4,,296.37,,,4,4,15.5
CHEMBL2144173,,CCOC(=O)c1cnc2cc(nn2c1C)c3ccc(cc3)C,,295.34,2.8,,3.4,3,27.9
CHEMBL2180179,,c1ccc2c(c1)c3c(o2)C(=NCC(=O)N3)c4cccc(c4)Br,,355.19,,10,3.3,3,14.7
CHEMBL2261869,,Cc1cccc(c1)n2c(nnc2S)Cn3c(cc(n3)C)C,,299.39,2.2,7.7,2.6,2,24.7
CHEMBL2386411,,CCCN1C/C(=C\c2cc(c(cc2)OC)OC)/C(=O)/C(=C/c3cc(c(cc3)OC)OC)/C1,,437.53,7,,3.1,2,0.4
CHEMBL2403862,,CC(O)(c1n(c2c(n1)cc(cc2)Cl)[C@H]3CC[C@H](CC3)NC[C@H]4Cc5c(ccc(c5)C#N)C4)C,,463.01,9.8,,2.6,3,0.2
CHEMBL3181841,,Cn1cc(c2c1cccc2)C(=O)[C@@H]3CCc4c(nc[nH]4)C3.Cl,,315.8,6.3,,2.4,3,0.5
CHEMBL3182267,,CCC(=C(c1ccccc1)c2ccccc2)CN.Cl,,273.8,9.4,,1.8,2,36.5
CHEMBL3182781,,c1ccc2c(c1)cccc2NC(=S)N,,202.28,,11.7,2.5,2,5
CHEMBL3185434,,Cc1c(c2ccc(cc2n1c3ccc(cc3)OC)O)[N+](=O)[O-],,298.29,,9.9,3,3,2.8
CHEMBL3191673,,Cc1cc(=O)[nH]c(n1)N/N=C/c2ccc(cc2)N(C)C,,271.32,7.8,9.9,1.9,1,0.6
CHEMBL3194444,,COc1cccc(c1OC)/C=N/Nc2[nH]c3ccccc3n2,,296.32,8.2,11,2.2,3,0.2
CHEMBL3197327,,c1ccc(cc1)/C=N/Nc2nc(nc(n2)N3CCCCCC3)N4CCCCCC4,,393.53,10.4,,2.4,2,9.9
CHEMBL3197983,,Cc1nnc(n1/N=C\c2cccc(c2OC)OC)C,,260.29,7.2,,0.9,2,51.2
CHEMBL3198028,,C/C(=N\NC(=S)N)/c1ccncc1,,194.26,5.7,8.3,0.9,1,8.3
CHEMBL3209071,,Cc1ccc(cc1Cl)/N=C\2/N(CCCS2)C(=O)c3ccco3,,334.82,2.5,,3.1,2,35.6
CHEMBL3209147,,CS/C(=N\C#N)/N1CCN(CC1)c2ccccn2,,261.35,5.3,,2.4,1,21.2
CHEMBL3209484,,C/N=C/1\c2cc3cc(ccc3n2CCN1C)OC.Cl,,279.77,9.9,,0.2,2,0.4
CHEMBL3213506,,c1cc(n(c1)c2ccc(cc2)Br)/C=N/n3cnnc3,,316.16,7.3,,1.7,3,23.1
CHEMBL3213668,,Cc1cc(cc(c1)NC(=O)CN2CCN(CC2)CCNC=C3C(=O)CC(CC3=O)(C)C)C,,440.58,5.9,,1.9,1,3.5
CHEMBL3274851,,c1ccc(c(c1)C2=NCC(=O)Nc3c2cc(cc3)Br)F,,333.16,3.1,11.3,3.1,2,66.7
CHEMBL3335676,,c1c[nH]c2c1nc(cn2)NC(=O)NC3CCCCC3,,259.31,2.8,12,2.7,2,14.2
CHEMBL3344130,,CN(C)CCCNCc1ccc(c(c1)OC)OCc2ccc(nc2)Cl,,363.88,9,,1.3,2,0.1
CHEMBL3353994,,C[C@H]1C[C@H](c2cc(ccc2N1C(=O)C)c3ccc(cc3)CN4CCCCC4)N,,377.52,9.2,,1.9,2,0.3
CHEMBL3359454,,c1ccc2c(c1)ccc(n2)/C=C/c3ccc(o3)[N+](=O)[O-],,266.25,5.5,,3.3,3,21.3
CHEMBL3431069,,c1ccc(cc1)c2cc(nc(n2)N)c3[nH]c4c(n3)cccn4,,288.31,4,8.8,2.7,4,0.2
CHEMBL3431627,,COc1ccc(cc1S(=O)(=O)N2CCc3c2cc(cc3)C(=O)Nc4nc(cs4)CC(=O)O)Cl,,507.97,,3.8,0.3,3,17.9
CHEMBL3447485,,Cn1ccnc1c2c(cnc(n2)NCCOC)c3cccc(c3)OC,,339.39,4,,2.6,3,59.5
CHEMBL3450375,,Cc1cnc(s1)Nc2c(nccn2)C3CCN(CC3)C,,289.4,8.3,,1.4,2,0.7
CHEMBL3487252,,CCN1CCN(CC1)c2ncc(c(n2)c3ccoc3C)c4cc(no4)C,,353.42,8.2,,2,3,2.1
